Model,ABL_ID,Occlusion_Level,mAP,Rank-1,Rank-5,Rank-10
CNN+GCN 4nb L3,ABL-05,0,74.36958144192381,94.2789,97.61621,98.331345
CNN+GCN 4nb L3,ABL-05,3,73.79197375330845,94.2789,97.25864,98.331345
CNN+GCN 4nb L3,ABL-05,6,72.88851552778002,92.96782,97.25864,98.331345
CNN+GCN 4nb L3,ABL-05,9,71.92519185864754,91.89512,96.185936,97.43742
CNN+GCN 4nb L3,ABL-05,12,70.28558735379998,91.17998,96.6627,97.61621
CNN+GCN 4nb L3,ABL-05,15,69.49654570782002,90.28605,95.947556,97.497025
CNN+GCN 4nb L3,ABL-05,18,67.59227328574963,88.498215,95.470795,97.07986
CNN+GCN 4nb L3,ABL-05,21,66.01476698784326,86.82956,94.21931,96.06675
CNN+GCN 4nb L3,ABL-05,24,63.86337984142854,85.04172,92.90822,95.470795
CNN+GCN 4nb L3,ABL-05,27,62.624056128962025,82.9559,92.13349,94.69607
CNN+GCN 4nb L3,ABL-05,30,59.88413569883395,80.75089,90.34565,93.56377
